timestamp,tps,rtps,wtps,bread/s,bwrtn/s
2018-06-18 09:35:01 UTC,19.65,9.85,9.8,283.71,85.43
2018-06-18 09:36:01 UTC,23.28,14.2,9.08,440.57,83.26
2018-06-18 09:37:01 UTC,14.96,8.34,6.62,186.0,61.29
2018-06-18 09:38:01 UTC,6.85,4.06,2.79,108.89,25.66
2018-06-18 09:39:01 UTC,3.59,0.73,2.86,26.16,24.7
2018-06-18 09:40:01 UTC,12.44,8.86,3.58,524.59,34.46
2018-06-18 09:41:01 UTC,15.08,10.92,4.15,397.29,38.92
2018-06-18 09:42:01 UTC,5.56,2.74,2.82,59.76,26.29
2018-06-18 09:43:01 UTC,3.21,0.15,3.06,5.46,25.17
2018-06-18 09:44:01 UTC,5.93,2.22,3.72,51.58,33.2
2018-06-18 09:45:01 UTC,14.21,1.63,12.58,31.98,103.95
2018-06-18 09:46:01 UTC,3.17,0.0,3.17,0.0,27.07
2018-06-18 09:47:01 UTC,2.82,0.0,2.82,0.0,22.8
2018-06-18 09:48:01 UTC,2.92,0.0,2.92,0.0,24.0
2018-06-18 09:49:01 UTC,4.05,0.17,3.88,10.93,31.47
2018-06-18 09:50:01 UTC,3.17,0.0,3.17,0.0,27.87
2018-06-18 09:51:01 UTC,3.35,0.23,3.12,20.53,25.33
2018-06-18 09:52:01 UTC,3.3,0.2,3.1,2.67,25.33
2018-06-18 09:53:01 UTC,2.83,0.0,2.83,0.0,23.07
2018-06-18 09:54:01 UTC,2.63,0.03,2.6,1.2,24.67
2018-06-18 09:55:01 UTC,2.88,0.0,2.88,0.0,23.47
2018-06-18 09:56:01 UTC,3.78,0.67,3.12,14.27,26.94
2018-06-18 09:57:01 UTC,2.53,0.0,2.53,0.0,20.8
2018-06-18 09:58:01 UTC,3.22,0.0,3.22,0.0,26.4
2018-06-18 09:59:01 UTC,2.78,0.0,2.78,0.0,22.94
2018-06-18 10:00:01 UTC,8.0,0.57,7.43,57.32,58.66
2018-06-18 10:01:01 UTC,5.42,1.53,3.88,48.39,31.86
2018-06-18 10:02:01 UTC,2.73,0.07,2.67,0.8,22.94
2018-06-18 10:03:01 UTC,2.95,0.0,2.95,0.0,23.87
2018-06-18 10:04:01 UTC,2.78,0.0,2.78,0.0,24.0
2018-06-18 10:05:01 UTC,3.52,0.03,3.48,2.13,28.4
2018-06-18 10:06:01 UTC,11.7,8.17,3.53,275.25,28.54
2018-06-18 10:07:01 UTC,4.06,0.15,3.91,5.73,32.12
2018-06-18 10:08:01 UTC,10.81,1.0,9.81,26.7,93.52
2018-06-18 10:09:01 UTC,29.55,16.47,13.07,1050.83,124.88
2018-06-18 10:10:01 UTC,8.56,0.36,8.19,36.93,66.22
2018-06-18 10:11:01 UTC,29.57,23.23,6.33,737.22,58.57
2018-06-18 10:12:01 UTC,8.36,4.43,3.93,74.77,62.57
2018-06-18 10:13:01 UTC,8.67,1.66,7.0,26.1,58.13
